ID,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50
S100a9,1377.65751794,1406.22866737,1815.23481375,1714.51716712,1192.43049099,1194.27716537,1211.58801321,1023.44527062,1221.29105243,478.017375193,2045.49207341,459.120111062,992.672559431,905.90709245,2261.98446238,2228.33784971,456.008652021,2185.33351889,1649.15042416,2226.10611272,506.011617534,989.180044027,1943.81786352,2063.52111613,1727.06080837,1525.16277425,3644.1034336,2501.25582781,1382.48299247,3129.3234104,1667.41780721,1206.01923168,770.035761977,1937.49757353,1796.30530577,2007.87516289,1805.36654239,2046.772355,2233.97665106,1478.85977924,1144.55532371,1346.86169431,2294.20518355,1845.63147903,344.049910532,1710.04088334,1025.14423253,955.49762735,1560.15992244,813.589442971
Cpa3,164.844108442,30.5365821601,68.1900454634,40.7483659174,64.7347627441,73.9477707374,53.1435639593,60.6967590748,77.9119564262,25.4872414584,167.540004584,51.087996173,25.1041714434,101.252853382,171.148146444,67.1210465517,129.160875696,52.0949483899,178.617392084,66.2954212563,207.20529936,75.9481131612,63.9055823273,68.586490355,37.3789301931,12.9822898633,94.2054196875,28.6205012755,44.9368051705,22.1239295283,22.9430884233,56.5718341553,163.482575511,147.098064562,21.7674034445,110.051801306,64.793768679,103.900060816,99.1075734962,31.858912327,117.614025904,79.5848014967,4.37522234843,0.0,0.0,174.964108549,32.2986815602,48.3280735885,17.285324041,55.4026319377
Ngp,111.721504604,212.871847258,178.897337929,209.306364553,169.225821364,218.69405849,319.45990149,284.792144215,205.004063727,150.752570866,296.213797076,169.974310933,40.8338641689,134.44534494,226.188310839,112.942283412,112.548262846,135.578299486,376.619334782,421.228897019,76.5989417358,187.174913414,139.929112823,483.431856267,170.999163619,387.139356688,435.319190444,543.123523592,153.880351815,572.508867242,424.076097186,92.0184359359,163.921421774,192.956699075,442.579432251,420.120141748,90.8552106157,140.83452824,644.824339793,483.662380454,360.958966143,647.253979594,355.831769807,278.644639982,134.033348309,38.9852834205,101.031322672,176.870983097,333.876407163,262.84019613
S100a8,17301.4512673,13635.3673467,15462.9525132,22937.247472,14743.0843598,12264.2994105,8759.41075159,14242.0836642,18179.7279596,3373.90808058,14447.5059809,3789.52388867,6743.80143677,8974.957456,28573.862465,19349.9594688,1968.77903268,18833.5942113,18380.2711376,21845.2968854,3783.32164399,6991.38991798,14131.1021452,23647.7402333,16481.1802578,19501.57127,31552.6920002,24969.3449736,11222.3937011,33831.3625028,20055.4805405,9885.18050045,9220.77794753,11555.5894481,23116.501024,18212.883196,15874.3804078,17607.3776502,30411.0996002,22235.7020157,12646.9036029,11988.2693612,26527.2584391,14565.4418476,3842.01181644,13659.2568019,13348.4340581,6369.91873909,17141.5356318,7939.89623525
Stfa1,1350.13287358,894.189806769,936.455244763,1393.21386725,1195.6865638,982.245206665,612.062959364,1067.46618969,1531.98680768,131.52146112,612.566709407,168.429436446,482.913891898,710.283392597,2145.37544067,1116.7247049,130.921035185,1130.25912521,1369.93172457,1352.37730299,126.229563192,602.386337152,612.331373549,1420.29161538,1222.95068465,1139.48993666,1951.25948266,1617.06851576,835.33482208,2137.43764407,1460.17914005,492.383298395,395.485540343,568.620919121,1050.24840146,1175.71791301,1268.24079821,1153.5999822,1666.86160415,1265.88852052,734.795549445,690.171152526,1793.64897097,720.292369449,215.309010223,748.264729281,642.464693991,373.387298125,1185.57971074,480.459806626
Camp,787.672367654,672.778985477,521.910411502,941.380069426,438.839984179,584.84462895,1260.91946931,664.676118272,1114.59150422,164.925601758,201.638821758,165.292868693,416.946763122,980.56832643,1598.92996398,741.363438723,191.534791215,914.66909706,1464.98585368,2113.6773145,139.667342401,163.817758073,379.066564935,1681.57287661,194.004410633,1155.09909563,3073.3729271,1895.73431505,1038.14255661,2266.73038013,692.825563832,751.666094637,26.567781426,140.731705935,1471.93340361,2184.84990197,450.599643038,1386.67601265,1724.42751462,377.952849143,500.199814316,973.645313375,908.332505731,596.134425249,139.65192228,511.805904806,530.543045757,171.999592317,1230.36921083,191.700777257
Cma1,527.995253386,125.753906254,452.929229207,264.959142105,0.0,184.56196254,304.490590283,173.047654513,471.84162941,400.756427342,659.955154962,306.018177161,372.176931281,374.425074599,493.368363736,495.638601456,246.95473612,188.790154548,472.218640566,358.330606275,1086.01860835,341.198102628,303.660121248,320.108569155,365.587669224,124.746722658,158.707253134,98.2193481755,116.877495123,82.8267535067,0.0,74.5506261747,866.917005519,723.016230376,89.6412046966,591.946022978,441.649291715,481.359316639,471.627076984,227.412373747,603.154038031,368.708982097,54.0533283809,94.0623663236,38.7820966182,671.175474751,388.799857184,159.217400392,142.366752613,95.0649037164
Gm5483,436.611459531,356.533052895,524.352684582,788.762984574,393.654937731,412.070074055,314.737869763,317.993553165,639.8898405,47.3421054278,463.045458376,79.0792164538,239.370205803,337.768074289,815.955370794,835.473648461,31.4173185004,610.267475105,600.751524981,649.064046898,144.330082909,250.795186547,485.46688615,856.39905662,509.158535276,294.731267819,1239.47651753,1055.85799289,306.054209984,1082.16339101,497.19116584,246.590532732,137.273682952,371.654392849,533.709941809,657.757329619,441.295406065,471.759558188,644.9988649,419.501819619,302.27999575,474.279502612,640.670539592,326.685833808,32.069810665,440.743623408,338.429025484,115.202974803,618.063353892,94.3336352263
Lyz2,2302.90456264,3029.74516248,3289.56754749,2385.48167712,2497.74886156,2277.81115759,1291.17569293,3304.81378534,3195.21205987,1751.02237267,3256.44071108,1742.56305862,681.379825603,2199.45149557,3461.2183631,4003.29215011,1117.01125384,3371.33872824,2229.79803652,1499.49722751,2844.57406441,3294.7960104,3414.1229621,3285.14309984,4351.59161899,3466.08931369,3349.99180878,2170.527551,2139.78784148,2322.75026138,3041.46595195,4010.30761444,2812.7673766,2563.21189287,3683.89250558,1769.03323963,2615.96016556,3087.32650156,2402.82085655,3345.83561146,3909.16896928,2620.70750148,4854.88995791,1786.92111059,2155.12211922,2512.84405162,3094.07261728,2109.04836373,2587.27897377,3181.94099185
Lcn2,83.9968770802,112.03214024,96.8417744216,110.155665433,118.748948067,65.7693181426,16.954111769,85.6474348993,100.88547546,85.0065428952,160.348220097,51.1175045585,36.8407183358,90.9734454231,94.1858508119,118.880593156,50.7710810021,91.7400675668,161.804623441,60.8059039852,51.8312452436,50.6613204869,72.1402497993,184.527973526,85.7095255342,111.134856512,47.1299163311,140.003269775,86.7702398182,162.335860809,107.12958822,49.8119688011,49.2971789608,104.452471687,159.719826048,82.3992543208,147.54685419,79.4139449643,210.082503215,202.598040147,130.264307561,164.238462329,208.672724896,117.318117114,86.3758712663,87.9322760022,72.9211712369,53.1915866295,110.978226527,67.7534396653
