ID,Female fetal gonad,Fetal brain,Fetal intestine,Fetal kidney,Fetal liver,Fetal lung,Fetal stomache
S100a9,6070.13903561,103.129834282,454.658526847,27.9838836451,4883.54251755,1880.18334152,2847.99090915
Cpa3,125.801333663,0.0,115.576967416,0.0,34.1144678793,60.0041320205,340.927240138
Ngp,1882.1688576,24.3930792967,0.0,0.0,1647.70743893,141.679353185,654.077959737
S100a8,26011.6995096,401.602001175,3000.02050428,708.325523645,45200.8026343,11662.8800883,18084.2046108
Stfa1,1523.2379839,18.9167272903,105.017621131,17.1099371688,2970.53237329,549.358622227,956.578338717
Camp,2182.31660376,0.0,0.0,12.8733363798,3559.80714509,505.183111758,684.459428166
Cma1,909.061744337,0.0,951.924157673,0.0,5.73420975043,191.307397417,1511.98486507
Gm5483,1285.20577875,6.80921341735,80.0509884875,0.0,1375.10760746,435.040379703,732.315746459
Lyz2,1275.86273216,1096.07735113,2872.19610567,669.908719279,4194.32569342,2606.23268946,2865.83386566
Lcn2,940.492501493,14.6717858164,0.0,0.0,260.534295221,184.635419814,416.929528202
Elane,416.26297538,0.0,0.0,0.0,9495.30093246,587.512401602,943.413613841
Stfa3,269.467161772,3.15278788171,9.26626068804,0.0,125.144379363,79.3518009884,71.674457656
Stfa2l1,373.898276297,5.16351007732,30.351823362,0.0,226.53083143,109.965485828,144.474540591
Apoe,1934.42207693,7518.43278888,8210.42443611,1553.46896936,3644.52780915,5792.40600011,6083.88065893
Srgn,71.2637962138,7.10917608939,61.9092090983,7.71619029092,335.543119412,72.6422111053,140.206812125
Ltf,55.0061934902,1.13018395232,1.1072294871,0.0,38.5644335792,9.8464648147,19.7640273828
Mpo,58.199788291,2.4513922577,4.80320710024,2.66070342052,2763.76682495,199.3337255,207.912623867
Prtn3,97.8440871193,73.2661657506,44.861313815,49.7012302928,1643.28714129,218.681794811,192.185683997
Hbb-bt,60929.1153688,24230.2600464,49012.888827,41640.3228301,53946.8263644,96649.6855407,69012.9955358
Hba-a1,7748.37170336,3486.09207377,7641.94325476,5569.01204029,9363.09989943,10053.07331,7404.79532986
Tpsb2,146.67533975,0.0,353.840267652,0.0,0.0,36.8030515789,689.77834945
Fcnb,118.566677303,0.0,3.05789507034,0.0,373.85591779,42.3010156782,76.416724492
C1qb,52.0282477765,946.704304799,1090.64352197,185.527744846,451.714526139,674.600117665,720.468114092
Prss34,177.900199367,0.0,190.866493431,0.0,417.445292215,14.507297702,209.659300864
Tyrobp,271.899949247,1207.71882515,2638.376803,504.748512899,2039.72105589,1988.82690336,1863.1648312
Stfa2,119.996990724,0.0,0.0,6.45396331269,82.8160611067,74.8298499468,88.3869343263
Wfdc21,193.466076885,0.0,0.0,10.1081536575,110.250061219,63.1066178135,61.0725080764
Anxa1,70.1851171881,4.54802745807,59.408737246,18.0999829708,89.7351286085,32.2859218824,86.1611515723
C1qa,131.031168664,1122.21120332,1315.69774982,179.709457146,262.627601056,756.871901583,579.086686902
Fcer1g,236.725271548,1074.64557188,1975.39256113,342.706259659,1176.5356833,1329.8537795,1622.57449649
Ctss,7.45044929754,87.8682344558,182.708043141,36.0073538293,54.3208825959,102.418053896,79.9654362957
Serpinb1a,149.057439971,0.0,191.676960008,12.6779855529,530.748592718,39.5752189785,273.203775023
Ccl3,83.3966013963,456.649629973,1393.74488885,324.072620785,599.304560722,595.067859442,737.135478433
Tmsb4x,26503.912617,110691.528992,94820.6299307,38249.6763184,46352.6895871,56120.4402631,60446.6014086
S100a6,159.014440149,49.3517326444,382.190338841,721.86037555,73.6439991177,216.12022081,630.837933114
Cxcl2,228.655091836,12.8413599263,75.4832821812,0.0,0.0,0.0,33.6843823559
Ccl4,30.0227765027,37.9370461824,458.387207887,96.0780005149,237.764911437,73.4483757939,187.969547001
C1qc,67.6478869695,1563.07143069,1443.59270318,194.394482955,634.946830734,740.788339553,676.234800494
Pglyrp1,59.3267265305,0.0,6.800295692,0.0,65.7385225714,12.0948499007,21.8493290957
Ctsg,81.9106931309,0.0,0.0,0.0,1819.07906754,353.064761148,284.429224139
Il1b,14.3944818848,0.0,51.4787559147,21.9356165559,2.81473766288,0.0,17.6710559898
Arhgdib,25.9171679867,55.3096973665,219.597258087,44.2343219691,615.245034376,135.262561067,178.173058914
Hmox1,289.500729083,110.50682128,134.394685795,161.301851919,233.515386307,335.676678008,159.929522656
Plac8,39.1474570779,10.036797489,383.484906514,236.550770665,772.82261587,101.323146781,198.084513588
Dlk1,218.874435888,290.463402861,3372.70179049,759.376245272,168.852134176,2100.27146495,2879.83421268
Ms4a3,13.8798500034,0.0,0.0,0.0,301.265665054,33.9559680273,30.6707039063
Tpsg1,54.8772220407,0.0,35.2255316845,0.0,3.57694902227,39.7786174513,148.211282366
Ctsc,21.1415113161,76.9056691601,176.066297384,32.5102367308,293.706943602,119.898808797,96.2653453728
Coro1a,129.792789247,420.786451106,681.656888867,151.039651465,1024.43105947,455.444076976,535.952214669
Hdc,11.0683586763,1.03600563054,4.0598558512,14.6180393246,49.0583309901,7.02018962646,21.7405072249
Hp,132.486170723,13.1302508419,51.4542818461,28.5027442813,653.763703746,82.6180741316,149.249433087
B2m,1185.50478169,959.319526472,2776.12913021,1489.76077123,1291.55160612,2600.21945428,1651.79524771
Cd52,54.8892866808,50.4426098824,444.762911897,57.0308669459,281.014853776,225.838496209,235.229936608
Cotl1,102.65425928,278.081467403,507.490503429,407.648254268,112.764736807,218.307434997,260.196610072
Itm2a,306.301184294,126.899963337,3584.6343005,399.432273565,55.9674581805,687.920435917,3791.05794201
Zfp36,817.623164122,382.650321724,1417.04091292,1046.61337737,367.724790984,614.892022137,1037.19422866
Ccl6,6.05530451936,66.3133154552,154.920036307,60.9023053591,145.640776844,133.3244624,98.124257886
Car2,1380.72052926,34.8022288747,134.587035755,77.5357018916,4364.90909748,1111.75652283,714.306548249
Dcn,44.9932617887,50.3070730484,316.641285071,128.652519179,0.0,134.755421529,401.909561947
Fcgr3,27.4877913046,154.372517528,219.293871965,23.0386136971,232.470496658,136.361430136,126.54284027
Lgmn,28.2632960516,84.7838644181,77.3727026273,39.0783032928,21.8371447198,42.7230876037,37.5740826641
Cd83,10.3030554509,17.3587094418,19.8405053719,67.513139048,1.00734428833,21.004683131,13.9131410435
Nkg7,187.482928882,0.0,486.29105156,24.4888701397,1728.30153693,174.728506562,335.374722771
Rac2,152.792715843,50.7053125152,236.9137722,35.9842698558,798.544609659,196.336996321,238.728608349
Ier3,1474.50571695,342.657191325,1678.48846829,790.319036494,1029.03631025,870.718648525,1254.61647358
Kctd14,4015.6147151,19.3485845739,12.6370716495,14.0004372335,202.107392843,28.0950071343,56.3928781315
Ifitm6,339.88048871,0.0,327.25246866,64.7425879481,332.305955887,219.421248441,208.623248613
Tagln2,305.181072849,123.111766995,1191.92363551,880.343828007,1482.65366099,2068.05148643,1155.60610353
Spi1,9.44763248953,27.0597206564,60.81735122,8.63829536802,121.375280711,65.4865339968,40.3616303263
Lgals3,3.42465131209,8.65483943325,87.6169156993,21.9189354787,198.890800442,75.4032755299,63.0629211587
Cd63,1371.87902601,908.834932627,3060.25580461,2893.5439736,756.340037134,2569.82423504,3084.45788584
Gypa,246.368745254,33.2701693641,40.3550204462,18.9152488784,526.254517022,223.911943865,200.863041269
Ctsb,357.401818992,756.089114095,698.595170609,325.556262933,867.811862419,444.847591864,511.662255308
Col3a1,27.2548195084,19.4808903868,468.951270031,125.355247076,0.484498583802,278.156690535,259.761606347
Col1a1,37.4860756618,23.6838685365,382.073434856,234.782437788,0.0,354.599447914,386.558946417
Nfkbia,2200.24856828,418.268236168,1044.51953786,952.471839571,274.137019569,500.165746219,573.681718855
Hba-x,3561.81687455,11445.1892385,11273.3424673,5371.86257975,172.326862622,16559.0368491,15403.2121508
Alas2,144.990497768,35.386601709,157.682967135,63.1874745477,116.852024047,200.006645742,163.688182668
Gmfg,46.7583800171,64.0079948567,149.534385652,26.7204970376,366.87353845,88.1761811932,114.086185338
Sparc,830.849253515,204.603996807,2210.37456968,1346.51220914,6.44708773014,1314.74231458,1469.24690213
Cd24a,2486.28878983,5632.12926157,2021.29923844,6712.45359689,3040.41368668,2804.2091288,2692.34503321
Atf3,10.5643147881,0.556215070536,4.35934505001,12.0741455071,1.16199898072,2.15373085857,4.37705068984
Alox5ap,24.2626448839,30.6584928741,51.1721160426,18.48680901,124.14477068,62.6542565138,56.5924125167
Tuba4a,598.272249038,75.3627025972,175.351136541,92.0222069494,1826.97841964,396.683760718,691.898004943
Gpr65,31.4845596283,33.1534735676,110.432387364,3.59842698558,41.5569133598,57.7683854559,66.6734899032
Selenop,123.860894533,404.044447721,387.138411971,330.112508039,205.61326845,240.693557191,339.697318581
Laptm5,12.3263343594,43.8426132186,89.2952656479,15.0271886803,123.730080921,60.3108268891,74.6519007789
Igsf6,18.0033782569,17.6938441171,69.3379016977,8.23055401327,165.460278492,61.1720243858,55.253587404
Cmtm7,100.791863883,57.312671184,205.878306589,178.555094678,472.279928797,185.961976202,187.458257035
Lmo4,132.207421541,308.660408098,489.437623579,224.494758857,120.766765474,189.440571441,271.275218757
Junb,1272.10935264,543.156161484,690.323615481,924.133338286,623.583423523,355.264393697,654.620312937
Ptprcap,90.1255520808,0.0,239.669811466,0.0,986.910687033,130.657847664,479.442468898
Blvrb,1310.09831411,133.020853295,295.008184028,163.417747339,2839.02091459,580.164139728,819.280619408
Mt2,25671.9619852,1525.86572491,1437.37962754,3248.60421631,30201.5441833,10396.394408,22578.3375273
Rhd,183.342302377,2.51818430897,4.93407805894,3.64426464639,425.539009769,66.6298443369,66.0549066396
Ctsh,43.1086452655,33.8939787207,68.7829853674,48.6127179194,57.3211869026,85.541343857,47.6292068866
Cebpe,121.57983873,0.0,0.0,0.0,641.899760905,84.9815918277,115.139343326
Col1a2,54.0689517207,38.3181621346,233.030735456,166.359773291,0.0,451.416265157,231.369549723
Prdx5,757.731850245,547.471057169,611.300422979,757.69110957,576.027903314,592.453589407,438.976520511
Mgst2,2.8249767298,0.0,11.6572144719,5.16594679711,21.5437533638,4.60738982487,11.4444593278
Ptn,18.5255767363,75.2434803391,101.836262009,110.100718384,0.0,48.2888463196,115.986749818
Upk3b,283.999237187,0.0,169.27699017,10.8195946526,0.0,135.096487008,226.619353167
Igfbp2,308.792821386,304.749545159,160.906149997,227.726706497,0.0,204.942289815,188.434407212
2010005H15Rik,3.50489649807,0.0,0.723144543971,0.0,1.54205407164,1.42907588336,1.29081177256
Ms4a6b,4.27587864738,66.6374700661,137.625809302,15.6383317217,10.033408719,62.7636171586,56.6911924411
F630028O10Rik,50.9683352107,28.6240175992,42.0639793993,0.0,74.7486921792,55.4177990361,37.5420655952
Lst1,150.787038937,325.498722103,956.663158382,258.505830982,431.22285881,714.721863107,728.871627778
Mt1,37747.7380972,3367.44567237,4969.45743139,3539.30997082,63507.8686667,15122.9380497,35686.8819404
Meg3,144.661591526,751.925441811,1202.35407105,302.061278713,40.9266483847,619.958219819,938.584629394
Il2rg,24.8252384784,10.4564637069,143.41724542,49.18023389,179.612699428,30.3665026579,97.5236333194
Sycp3,2465.54473847,0.0,0.0,0.0,0.0,0.0,0.0
Tnf,35.9999033055,0.0,69.3247045333,21.9439666193,7.03952281885,0.0,26.5166740434
Nrep,85.1966168942,1271.21618969,529.75136767,684.010199512,4.79248399229,1336.21605513,362.768572612
Cyba,630.091747202,390.767857673,1496.23199512,1017.92020165,1093.01561576,923.621206336,1110.44872502
Rbp1,136.160887717,172.05410316,717.204653366,1061.88262267,19.57741525,924.20854826,230.08365918
Chil1,63.0005802204,6.63400757624,0.0,7.20044970134,18.4789672197,0.0,2.90029572454
Cd53,9.38553170632,19.3268222968,21.5162354514,5.72100965718,55.6699595258,24.6617822061,35.3339279582
